Symbol,Total_Records,Date_Range_Start,Date_Range_End,Avg_Price,Min_Price,Max_Price,Price_Volatility,Avg_Change_Pct,Max_Gain,Max_Loss
DIVISLAB,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,2614.8183623327054,507.8253479003906,6737.0,1612.422128390333,0.10531480517412697,16.1587180543614,-22.264831494017113
DLF,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,317.8891949835388,74.52789306640625,942.861572265625,230.27773970295118,0.1228704666617306,18.380748674489055,-17.265444828613553
DMART,2026,2017-03-21 00:00:00+05:30,2025-06-03 00:00:00+05:30,2845.2418080035227,614.4000244140625,5391.4501953125,1290.937877068731,0.11135851344568264,13.064416707316962,-11.087073921877954
DRREDDY,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,784.8461485257114,351.4603576660156,1412.489990234375,280.249406839747,0.04182695198908048,13.868062007651789,-14.560869928827564
EICHERMOT,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,2679.697938199751,1224.5931396484375,5810.5,1020.9679619728117,0.07090757907100208,13.380086796589277,-12.581275808082191
ETERNAL,38,2025-04-07 00:00:00+05:30,2025-06-03 00:00:00+05:30,231.05736782676294,209.6300048828125,245.7599945068359,8.496609087613761,0.40036393108268015,5.441578164816554,-4.525363023320093
GAIL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,90.44480692267128,35.613807678222656,232.19076538085935,45.03096250882998,0.07673642352973561,16.42650564488623,-17.547657282669515
GODREJCP,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,765.351791975852,347.7030944824219,1495.482421875,260.44013143206257,0.06853574747855722,21.872373431727848,-13.0334581822714
GRASIM,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1265.2103664896301,390.2169189453125,2832.86376953125,652.7351942068861,0.08303569682567183,14.0422148525197,-18.1620753057118
HAL,1771,2018-04-02 00:00:00+05:30,2025-06-03 00:00:00+05:30,1384.9781749688725,216.7060546875,5566.19189453125,1472.9393919845795,0.15988640189053382,17.278533158779556,-17.83015503982534
HAVELLS,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,873.2589168873436,222.3191375732422,2069.16015625,467.7633908021971,0.09071648182515328,12.805206127774545,-11.592982150566526
HCLTECH,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,750.2175674624107,280.8260803222656,1965.7421875,447.7737234477538,0.0760525959356174,11.175462706410949,-12.73739996323525
HDFCBANK,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1155.5925932526104,439.2727966308594,1961.699951171875,402.1067315118961,0.06802248319043382,11.599582495728432,-12.606901190575645
HDFCLIFE,1861,2017-11-17 00:00:00+05:30,2025-06-03 00:00:00+05:30,567.156951773109,337.629150390625,789.4500122070312,102.9241608352334,0.06144227699424106,14.31493324342488,-18.129627175743053
HEROMOTOCO,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,2726.8100827009043,1328.8033447265625,6039.02685546875,852.9149092033053,0.04928962013737413,13.057559656578038,-10.998518174779292
HINDALCO,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,313.06006529344745,57.565338134765625,761.5499877929688,182.8536863443616,0.101530872780862,17.060789203263866,-16.6824717193238
HINDUNILVR,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1781.8359779920988,667.9569091796875,3005.72802734375,663.6553021907471,0.0590943753151456,13.499814509155778,-8.8707069090157
HYUNDAI,152,2024-10-22 00:00:00+05:30,2025-06-03 00:00:00+05:30,1773.8263132195723,1583.199951171875,1916.550048828125,81.95540611149227,0.020037021333015513,5.78101498307543,-5.658826455361071
ICICIBANK,2465,2015-06-08 00:00:00+05:30,2025-06-02 00:00:00+05:30,576.8449405198165,154.01885986328125,1460.5999755859375,347.1511078366125,0.09239040700103512,14.68767545900376,-17.847831228807483
ICICIGI,1896,2017-09-27 00:00:00+05:30,2025-06-03 00:00:00+05:30,1269.437068182708,637.2849731445312,2268.71337890625,349.973905184023,0.07279350790440453,15.747103475829006,-17.736075717574295
ICICIPRULI,2142,2016-09-29 00:00:00+05:30,2025-06-03 00:00:00+05:30,477.04554710779985,237.2529754638672,791.0499877929688,112.2774957362982,0.05937911602177516,25.93829500029093,-21.499010092342576
INDHOTEL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,235.47217327467524,59.40577697753906,889.6500244140625,203.038900664207,0.11397212905173996,14.328800729582497,-17.60484968889335
INDIGO,2359,2015-11-10 00:00:00+05:30,2025-06-03 00:00:00+05:30,1881.220902789392,682.2687377929688,5589.0,1127.5742749659128,0.1075704267919009,14.459957944526437,-19.163488195069952
INDUSINDBK,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1173.3104920522624,290.9666442871094,1943.3948974609375,340.6692673899272,0.03603748527792717,44.67307049896717,-27.15713356945794
INFY,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,963.4957484162541,358.4864196777344,1971.954345703125,504.6991665411497,0.07037524597974683,12.033459069940418,-15.305644574578434
IOC,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,73.75070597423544,30.67535972595215,184.6792907714844,35.20133044346094,0.07933108559828901,8.78130442098067,-15.858862426762682
