Symbol,Total_Records,Latest_Close,Latest_MACD,Latest_BB_Position,Latest_Aroon_Up,Latest_PSAR,EMA_12,EMA_26
HINDALCO,2465,633.0999755859375,0.9274095888304146,0.2310582668987722,28.57142857142857,668.1340804687501,644.2310953935423,643.3036858047119
HINDUNILVR,2465,2353.10009765625,8.039925797558226,0.3651186729903862,64.28571428571429,2408.5392213341306,2361.7790465351422,2353.739120737584
HYUNDAI,151,1830.0,35.243108940011325,0.4683297587027974,35.714285714285715,1902.1987684848827,1851.048374347076,1815.8052654070648
ICICIBANK,2464,1450.5,17.20800834784677,0.6411801818413707,64.28571428571429,1471.5999755859375,1446.8531095900105,1429.6451012421635
ICICIGI,1895,1856.0999755859375,10.135591831962529,0.5273069993458899,28.57142857142857,1898.8284825086544,1859.1564926689043,1849.0209008369416
ICICIPRULI,2141,641.6500244140625,17.51403277578413,0.6492983303082447,78.57142857142857,634.0903874636149,643.6549781142389,626.1409453384548
INDHOTEL,2465,774.7000122070312,-3.0419459407479508,0.6862745720520459,100.0,719.7900638255785,771.0562939630959,774.0982399038438
INDIGO,2358,5394.5,22.499266174757395,0.4808445970999148,21.428571428571427,5657.79,5385.362702854934,5362.863436680176
INDUSINDBK,2465,801.9000244140625,5.0282561176605896,0.5400747749499093,64.28571428571429,763.5188057764024,804.6267855648097,799.5985294471491
INFY,2465,1541.5999755859375,11.920928486911407,0.4648956610910514,7.142857142857142,1582.9429083735165,1547.7978953113045,1535.8769668243929
IOC,2465,141.5500030517578,1.4304951340391767,0.2110292928855558,14.285714285714285,138.03459444213863,142.9125645797067,141.48206944566752
IRFC,1071,140.8800048828125,3.780165816299615,0.7185175725918903,100.0,132.9069678154537,138.20443205261097,134.42426623631135
ITC,2465,416.3999938964844,0.4965292946833983,0.1451454411056827,64.28571428571429,434.3654232323145,421.5699993601618,421.0734700654784
JINDALSTEL,2465,946.6500244140624,14.851132617268831,0.5570725686192771,14.285714285714285,985.7999877929688,947.9395388854268,933.088406268158
JIOFIN,434,283.70001220703125,9.854579820672654,0.6858898113611489,71.42857142857143,298.93299987792966,281.57630367303,271.72172385235734
JSWENERGY,2465,501.5,1.395081857998889,0.6710706529367926,21.428571428571427,484.1000061035156,496.5694862880186,495.1744044300197
JSWSTEEL,2465,974.0499877929688,-3.9725422249491658,0.2333292315597429,14.285714285714285,1043.0929760742188,997.4831600869348,1001.455702311884
KOTAKBANK,2465,2037.9000244140625,-16.753522858936776,-0.0744912510541621,21.428571428571427,2145.5098674663527,2077.7405088369064,2094.494031695843
LICI,752,954.25,39.13533984180958,0.8979142113453846,100.0,903.9425550067206,906.9806681613989,867.8453283195893
LODHA,1018,1433.9000244140625,47.837626655121085,0.7145189814952214,78.57142857142857,1389.3656583481602,1416.3531739519788,1368.5155472968577
LT,2465,3621.800048828125,79.14808084160723,0.6963444081630966,100.0,3572.2838676131,3588.5026982353115,3509.3546173937043
LTIM,2188,5052.5,135.87136520371223,0.6418251704474495,78.57142857142857,5271.28380859375,5025.562226420536,4889.690861216824
M&M,2464,3025.89990234375,34.147443728091275,0.3407527952740156,14.285714285714285,3158.628753125,3027.7451468462914,2993.5977031182
MARUTI,2465,12134.0,33.058996803350965,0.0898198926852179,14.285714285714285,12909.0530755072,12383.385975382544,12350.326978579194
MOTHERSON,2465,150.86000061035156,4.439475720015167,0.763337706592738,85.71428571428571,147.96959411621094,148.92414554887392,144.48466982885876
NAUKRI,2465,1425.0,7.6888312658566065,0.3588925191312624,14.285714285714285,1513.25354624,1443.5616561349834,1435.8728248691268
NESTLEIND,2465,2398.800048828125,18.46913781569083,0.547261404300882,64.28571428571429,2482.0,2406.4157431304316,2387.9466053147407
NTPC,2465,328.70001220703125,-3.9531451453366913,-0.1141342255562528,57.14285714285714,350.78201171875,337.98141133989446,341.93455648523116
ONGC,2465,237.3500061035156,-0.3665023139632524,0.1977833005575508,28.57142857142857,251.8332452636719,241.84523810458435,242.2117404185476
PFC,2465,406.5499877929687,-0.1406061045927913,0.4530980760054928,21.428571428571427,404.1000061035156,409.41372563981486,409.5543317444077
PIDILITIND,2465,3099.0,23.96975921501371,0.7753519067647964,7.142857142857142,2976.067312109375,3054.4812791864465,3030.511519971433
PNB,2465,109.29000091552734,2.4349775912514957,1.00548871419349,100.0,96.34722547916436,103.5322312613802,101.0972536701287
POWERGRID,2465,288.95001220703125,-2.484350050533749,0.1407596815138434,28.57142857142857,296.73594029296873,294.1893301590526,296.67368020958634
RECLTD,2465,400.5,-2.700401434453397,0.4689930031145269,21.428571428571427,388.0961351359952,403.4646880316282,406.16508946608167
RELIANCE,2465,1410.800048828125,19.45140992460938,0.3377137558600293,7.142857142857142,1450.6023554795745,1417.7833211805912,1398.3319112559818
SBILIFE,1892,1785.9000244140625,39.482642498428504,0.6006616001964908,85.71428571428571,1772.8405078250512,1789.4690279855786,1749.98638548715
SBIN,2465,809.7000122070312,10.10889007390324,0.843259659119849,92.85714285714286,779.728967288996,798.7380063249037,788.6291162510005
SHREECEM,2465,29520.0,-87.38077382628762,0.2193638414014395,28.57142857142857,31452.3917248,30232.3877855331,30319.76855935939
SHRIRAMFIN,2465,652.0,1.293845738874893,0.5295231591489351,21.428571428571427,669.3804546397059,651.4609082209126,650.1670624820377
SIEMENS,2465,3320.699951171875,-8.287089750639552,0.7598646557404102,78.57142857142857,3187.289584554765,3248.7184932324685,3257.005582983108
SUNPHARMA,2465,1667.800048828125,-20.03177397890704,0.1845571568250264,21.428571428571427,1740.7999055449245,1692.4670351278244,1712.4988091067314
SWIGGY,135,340.0,0.5538710134624125,1.0750160318508362,100.0,299.6530397460937,326.75047891307776,326.19660789961534
TATACONSUM,2465,1116.199951171875,4.054342489422652,0.3602508493652905,14.285714285714285,1097.0207130125866,1121.0504150120703,1116.9960725226476
TATAMOTORS,2465,704.8499755859375,12.11698514999182,0.3238234415092569,14.285714285714285,736.6471101159636,714.0541044221591,701.9371192721673
TATAPOWER,2465,391.7000122070313,3.586127420873879,0.4361133052776182,21.428571428571427,410.0008709804688,396.0448383168118,392.45871089593794
TATASTEEL,2465,157.5500030517578,4.046333548569891,0.5376535285957882,57.14285714285714,164.79240427539062,158.9839310126225,154.9375974640526
